index,cont,map
0,홍은동,1
1,상계동,2
2,등촌동,3
3,중화동,4
4,신공덕동,5
5,대치동,6
6,문래동3가,7
7,방학동,8
8,성수동1가,9
9,자곡동,10
10,개포동,11
11,답십리동,12
12,이촌동,13
13,독산동,14
14,역삼동,15
15,신천동,16
16,사직동,17
17,구로동,18
18,시흥동,19
19,화곡동,20
20,화양동,21
21,상도동,22
22,봉천동,23
23,신내동,24
24,신길동,25
25,면목동,26
26,오금동,27
27,거여동,28
28,효창동,29
29,창동,30
30,신정동,31
31,하왕십리동,32
32,암사동,33
33,상봉동,34
34,방화동,35
35,연희동,36
36,녹번동,37
37,도화동,38
38,쌍문동,39
39,옥수동,40
40,창신동,41
41,신림동,42
42,삼성동,43
43,신사동,44
44,중계동,45
45,아현동,46
46,상일동,47
47,광장동,48
48,염리동,49
49,돈암동,50
50,북가좌동,51
51,보문동3가,52
52,청담동,53
53,목동,54
54,반포동,55
55,방배동,56
56,공릉동,57
57,자양동,58
58,금호동2가,59
59,신도림동,60
60,마장동,61
61,도곡동,62
62,수서동,63
63,황학동,64
64,전농동,65
65,수유동,66
66,길음동,67
67,고척동,68
68,을지로5가,69
69,문정동,70
70,오류동,71
71,제기동,72
72,둔촌동,73
73,당산동3가,74
74,하월곡동,75
75,하계동,76
76,신월동,77
77,가양동,78
78,월계동,79
79,잠원동,80
80,상암동,81
81,불광동,82
82,장안동,83
83,정릉동,84
84,길동,85
85,사당동,86
86,회현동1가,87
87,압구정동,88
88,천호동,89
89,강일동,90
90,삼선동2가,91
91,공덕동,92
92,잠실동,93
93,영등포동4가,94
94,구의동,95
95,장위동,96
96,서초동,97
97,당산동2가,98
98,문배동,99
99,행당동,100
100,용두동,101
101,장지동,102
102,가락동,103
103,염창동,104
104,무악동,105
105,미아동,106
106,대림동,107
107,성내동,108
108,사근동,109
109,한남동,110
110,용산동5가,111
111,명일동,112
112,일원동,113
113,석촌동,114
114,우면동,115
115,문래동4가,116
116,금호동3가,117
117,대조동,118
118,남현동,119
119,내발산동,120
120,상왕십리동,121
121,구산동,122
122,군자동,123
123,회기동,124
124,번동,125
125,홍제동,126
126,응봉동,127
127,순화동,128
128,신당동,129
129,묵동,130
130,본동,131
131,개봉동,132
132,상월곡동,133
133,종암동,134
134,대방동,135
135,문래동6가,136
136,당산동5가,137
137,온수동,138
138,중곡동,139
139,금호동4가,140
140,안암동1가,141
141,흑석동,142
142,응암동,143
143,남가좌동,144
144,영천동,145
145,풍납동,146
146,한강로2가,147
147,신원동,148
148,진관동,149
149,가산동,150
150,갈현동,151
151,고덕동,152
152,망우동,153
153,동작동,154
154,신대방동,155
155,양평동1가,156
156,영등포동,157
157,창전동,158
158,숭인동,159
159,충무로5가,160
160,여의도동,161
161,성수동2가,162
162,방이동,163
163,양평동3가,164
164,휘경동,165
165,양평동4가,166
166,우이동,167
167,당산동1가,168
168,이문동,169
169,청암동,170
170,마곡동,171
171,안암동3가,172
172,북아현동,173
173,도봉동,174
174,냉천동,175
175,천연동,176
176,신계동,177
177,역촌동,178
178,증산동,179
179,원효로1가,180
180,연남동,181
181,문래동5가,182
182,중동,183
183,항동,184
184,영등포동1가,185
185,석관동,186
186,금호동1가,187
187,청량리동,188
188,양재동,189
189,논현동,190
190,흥인동,191
191,송파동,192
192,삼선동3가,193
193,마천동,194
194,망원동,195
195,성산동,196
196,동소문동5가,197
197,세곡동,198
198,용답동,199
199,만리동1가,200
200,노량진동,201
201,상도1동,202
202,홍파동,203
203,원효로4가,204
204,송정동,205
205,천왕동,206
206,도림동,207
207,이태원동,208
208,인의동,209
209,현석동,210
210,당산동4가,211
211,대흥동,212
212,영등포동8가,213
213,평창동,214
214,서빙고동,215
215,궁동,216
216,당산동,217
217,보문동6가,218
218,산천동,219
219,토정동,220
220,신수동,221
221,충무로4가,222
222,양평동5가,223
223,동소문동4가,224
224,합정동,225
225,수색동,226
226,상수동,227
227,노고산동,228
228,당산동6가,229
229,마포동,230
230,용강동,231
231,연지동,232
232,충정로3가,233
233,인현동2가,234
234,오장동,235
235,내곡동,236
236,삼선동4가,237
237,서교동,238
238,공항동,239
239,한강로3가,240
240,명륜2가,241
241,양평동2가,242
242,동자동,243
243,현저동,244
244,용문동,245
245,평동,246
246,영등포동7가,247
247,하중동,248
248,남창동,249
249,창천동,250
250,보문동4가,251
251,대현동,252
252,익선동,253
253,합동,254
254,장충동1가,255
255,회현동2가,256
256,동숭동,257
257,동소문동7가,258
258,동소문동6가,259
259,신영동,260
260,도원동,261
261,한강로1가,262
262,후암동,263
263,양평동6가,264
264,청운동,265
265,용산동2가,266
266,묵정동,267
267,원효로2가,268
268,문래동2가,269
269,신설동,270
270,내수동,271
271,연건동,272
272,명륜1가,273
273,필동1가,274
274,율현동,275
275,신창동,276
276,중림동,277
277,청파동3가,278
278,혜화동,279
279,남대문로5가,280
280,영등포동5가,281
281,충정로2가,282
282,삼전동,283
283,가리봉동,284
284,견지동,285
285,홍익동,286
286,성북동1가,287
287,보광동,288
288,동선동4가,289
289,영등포동3가,290
290,갈월동,291
291,이화동,292
292,동빙고동,293
293,동선동1가,294
294,효제동,295
295,도선동,296
296,만리동2가,297
297,성북동,298
298,산림동,299
299,교북동,300
300,필동3가,301
301,영등포동2가,302
302,보문동2가,303
303,명륜3가,304
304,원효로3가,305
305,행촌동,306
306,신교동,307
307,예장동,308
308,장충동2가,309
309,안암동4가,310
310,정동,311
311,필운동,312
312,동선동5가,313
313,누상동,314
314,신문로1가,315
315,청파동1가,316
316,당주동,317
317,남산동2가,318
318,충신동,319
319,부암동,320
320,구기동,321
321,능동,322
322,미근동,323
323,동교동,324
324,동선동3가,325
325,옥인동,326
326,신문로2가,327
327,삼선동5가,328
328,,-2
